row_id,monitor,date_hour,date,hour,season,sin_hour,cos_hour,season_binary,mod_pm25,mod_pm1,mod_pm10,mod_temp,mod_rh,grimm_pm25,split_day_block
50,MOD-PM-00884,2025-08-14T18:00:00Z,2025-08-14,18,Not Harmattan,-1,-1.8369701987210297e-16,0,33.851318758410855,32.43167178731845,32.763462828839934,26.869166666666665,68.38233333333334,14.286666666666669,train
51,MOD-PM-00884,2025-08-14T19:00:00Z,2025-08-14,19,Not Harmattan,-0.9659258262890684,0.2588190451025203,0,32.11268915138939,30.906760927621196,30.50656565151484,26.0195,71.852,15.94,train
52,MOD-PM-00884,2025-08-14T20:00:00Z,2025-08-14,20,Not Harmattan,-0.8660254037844386,0.5000000000000001,0,29.574852746826465,28.483648637040496,28.21101501909871,25.1925,75.16966666666667,16.763333333333332,train
53,MOD-PM-00884,2025-08-14T21:00:00Z,2025-08-14,21,Not Harmattan,-0.7071067811865477,0.7071067811865474,0,18.472399651433214,18.050618081600437,19.40565997249062,24.935666666666663,76.529,17.941666666666666,train
54,MOD-PM-00884,2025-08-14T22:00:00Z,2025-08-14,22,Not Harmattan,-0.5000000000000004,0.8660254037844384,0,14.110184900727024,13.932277563527515,16.19446809114355,24.9635,75.28883333333333,15.015,train
55,MOD-PM-00884,2025-08-14T23:00:00Z,2025-08-14,23,Not Harmattan,-0.25881904510252157,0.9659258262890681,0,9.178786129481502,9.339478121620497,12.702665633003196,24.72578947368421,74.8140350877193,11.706666666666669,train
56,MOD-PM-00884,2025-08-15T00:00:00Z,2025-08-15,0,Not Harmattan,0,1,0,7.270137470753009,7.499106595956883,10.464824814116907,24.18625,77.8225,8.403333333333332,train
57,MOD-PM-00884,2025-08-15T01:00:00Z,2025-08-15,1,Not Harmattan,0.25881904510252074,0.9659258262890683,0,10.40977581357864,10.415742574365217,12.8890517415804,23.69509433962264,79.46566037735849,8.493333333333334,train
58,MOD-PM-00884,2025-08-15T02:00:00Z,2025-08-15,2,Not Harmattan,0.49999999999999994,0.8660254037844387,0,12.709794600113952,12.612918656181924,14.816953235721517,23.25719298245614,81.13456140350877,11.308333333333334,train
59,MOD-PM-00884,2025-08-15T13:00:00Z,2025-08-15,13,Not Harmattan,-0.2588190451025208,-0.9659258262890683,0,12.235091426356425,12.136682713671547,15.60973581588652,35.775666666666666,43.72533333333333,10.23,train
60,MOD-PM-00884,2025-08-15T14:00:00Z,2025-08-15,14,Not Harmattan,-0.4999999999999998,-0.8660254037844388,0,14.671323031998062,14.318984955676624,17.371802932304355,36.29416666666667,42.167,6.495,train
