monitor,pollutant,slope,intercept,r2,rmse,n_points,method,reference_monitor,colocation_start,colocation_end,fitted_on,window_name
MOD-PM-00894,pm10,0.7953878698507615,1.195878594023036,0.8920696374150113,26.25877937279172,36329,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00895,pm10,0.9687877722836332,-1.7127495921247942,0.9295807930749432,31.81526095116397,15630,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00896,pm10,0.9362445793579444,-2.419613445537581,0.9104289475481264,26.11183377691473,37302,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00897,pm10,1.2603957685828138,-3.620138190985404,0.917106937871087,30.0211025959103,26962,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00898,pm10,0.7733077695415757,0.8975244313305842,0.9066200968753572,23.507108725330426,30113,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00899,pm10,1.029430787267572,-1.3248539437397882,0.9215908840743317,26.17436345757442,39019,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-00900,pm10,1.388453550941222,-8.531968811751902,0.915871829639304,25.30374772501254,33263,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01051,pm10,0.9890481497334562,-0.9231285121850852,0.9262649180100674,26.52487580153888,32256,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01052,pm10,1.020789439729746,-0.17325459865075946,0.9200375557427222,21.9368622861754,20435,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01053,pm10,1.0411228717476846,-1.4505742835031592,0.9195908624860938,27.33673147078012,22120,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01054,pm10,1.1536180921964443,-3.397168494876312,0.907072173871418,31.790180349000977,15575,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01055,pm10,1.1258505950470532,-3.992811039536249,0.9442404642708186,20.84221794456695,21422,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01056,pm10,0.9908938178162084,-1.211534755581875,0.93206354581162,23.562890647167027,31473,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01057,pm10,1.0452236377920148,-1.2476891852080765,0.9219597009774098,21.656612192182923,29431,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01058,pm10,1.23618206840658,-2.6565824555097417,0.888950437128272,24.477899491625685,15560,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01059,pm10,1.1561266322125523,-0.3418544332429983,0.8194339518201696,39.4502618645496,34434,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01060,pm10,1.1181518282174998,-1.3827064650774352,0.9527130482830234,23.714353231750632,24965,fleet_avg,NA,2023-08-16T00:00:00Z,2023-09-20T00:00:00Z,2025-10-12,window1
MOD-PM-01072,pm10,2.96881566424184,-60.06225701269328,0.661003553674912,73.97996487057674,2610,coloc_vs_corrected_ref,MOD-PM-00884,2024-12-16T00:00:00Z,2025-01-25T00:00:00Z,2025-10-14,window2_new_monitors
MOD-PM-01075,pm10,2.1196198266299975,26.30728718827346,0.6152730530694352,76.59083121289024,1653,coloc_vs_corrected_ref,MOD-PM-00884,2024-12-16T00:00:00Z,2025-01-25T00:00:00Z,2025-10-14,window2_new_monitors
MOD-PM-01078,pm10,1.815370723700169,-16.70427801972334,0.7118191262653698,60.39570127818201,7170,coloc_vs_corrected_ref,MOD-PM-00884,2024-12-16T00:00:00Z,2025-01-25T00:00:00Z,2025-10-14,window2_new_monitors
MOD-PM-01079,pm10,1.966154950871697,-6.936975750102854,0.641391238413573,53.48978338160816,1895,coloc_vs_corrected_ref,MOD-PM-00884,2024-12-16T00:00:00Z,2025-01-25T00:00:00Z,2025-10-14,window2_new_monitors
MOD-PM-01083,pm10,1.986349545272593,-18.74331346794613,0.8050295661505326,51.67313281173619,2830,coloc_vs_corrected_ref,MOD-PM-00884,2024-12-16T00:00:00Z,2025-01-25T00:00:00Z,2025-10-14,window2_new_monitors
MOD-PM-01087,pm10,1.94391713038819,-5.4262841793406835,0.5385650259431585,45.94792214306286,2155,coloc_vs_corrected_ref,MOD-PM-00884,2024-12-16T00:00:00Z,2025-01-25T00:00:00Z,2025-10-14,window2_new_monitors
